WORD,FREQUENCY,TF,ONE_HOT_WORD_IN_DOC,DOC_APPEARANCES,IDF
RADIOLOGY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
ETC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
OUTLINING,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
SPECIALTY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
WANT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
SURGEONS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
OTOLARYNGOLOGISTS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
CARDIOLOGISTS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
GASTROENTEROLOGISTS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
SPECIALTIES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
COME,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
CEPHALOSPORINS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
URGENTLY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
CARINII,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
MALIGNANCIES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
ALLOGRAFTS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
ENDORSED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
RESERVATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
MANDATORY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
PRAISED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
PARATRACHEAL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
STRIPE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
RPS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
THYMUS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
WIDEN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
OBSCURATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
WIDENING,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
WIDER,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
MEDIASTINUM,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
PLEURA,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
PUBLICATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
DESIGNATED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
SCHOLEY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
COMPREHEND,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
DIALYZING,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
GLYCOGEN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
HYDROXYALKYLAMINES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
MUGB,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
HYDROXYMERCURIBENZOATE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
TITRE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],5,2.385606273598312
NANOMOLES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
DISCRIMINANT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
CLASSIFY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
EXPIRE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
SCHEME,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
ADENYLATE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
CYCLASE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
UNDISTINGUISHABLE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
MODULATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
COLOR,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
ELECTROPHEROGRAMS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
KODAK,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
PANATOMIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
WRATTEN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
FUDENBERG,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
CHOLECYSTOKININ,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
INFUSED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
SECRETAGOGUES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
OUTPUTS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
UNRESTRITCED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
FEEDINGS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
LEND,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
PROMINENTLY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
STRENGTHENED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
OPTIMIZED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
NONCOMPETITIVE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
AMINOMETHANE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
CONCENTRATIONAND,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
HYPERSECRETORS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
MARGINALLY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
SCWACHMAN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
DROPPED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
PREADOLESCENCE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
PEAKED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
CYTOCHEMICAL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
TERMINATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
POSTPRANDIAL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
HYPERSTIMULATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
PHOSPHOHYDROLASE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
BETWEEM,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
DIMINISED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
INTERACT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
EFAS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
PALENESS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
NOCTURNAL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
PREVENTS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
DISPUTE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
INDEXES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
RESPONDERS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
EVENLY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
PRECHALLENGE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
HEIGHTENED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
COEXISTENT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
RETINOPATHY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
RETINAL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
HEMORRHAGES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
ALTITUDINAL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
ALTITUDES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
KDISS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
MICRON,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
SOUTHERN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
UNCLES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
AUNTS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
COUSINS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
COMPILED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
ADDRESSES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
DATES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
RHODESIA,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
UNDERESTIMATED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
GRANDPARENTS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
SURNAMES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
SIZES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
TOWNS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
DISTRICTS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
ANSWERED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
CONGENITALLY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
IMMOTILE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
SUCCEEDED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
COUGHED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
COUGHING,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],4,2.482516286606369
LIPOPROTEINS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
APOPROTEINS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
THERAPIES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
LNOWN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
CONJUGATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
ESTRADIOL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
DIBUTYRYL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
PHOSPHODIESTERASE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
MISTAKEN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
NEGLECT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
GOVERNS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
POLYANIONIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
POLY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
POLYCATIONS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
POLYCATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
GLOBULE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
MGM,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
LINKING,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
DEOXYRIBONUCLEIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
FIBRES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
INCOMPATIBLE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
LATENT,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
INCLINED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
CALCIFYING,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
SICKLING,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
CIVILIZATION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
KLINICAL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
COVER,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
RESPOSES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
REMOVING,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
SCRUTINIZED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
PROPOSALS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
SUBSTANTIATED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
HYPERHIDROSIS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
PALMS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
VOLAR,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
CORROSIVE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
CORROSION,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
ALUMINIUM,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
HEXAHYDRATE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
COOPERATE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
AUDIOMETRY,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
PERCEPTIVE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
TUBAL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
IMPEDANCE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],3,2.6074550232146687
FRAGILIS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
SWEDEN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
KATZNELSON,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
FONTANELLES,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
UNKNOWING,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
BULGE,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
FONTANEL,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
TACHYPNEA,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
OVERDISTENDED,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
TEICHOIC,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
PATOGENESIS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
CLQ,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
ELECTROIMMUNOASSAYS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
ROCKETIMMUNOELECTROPHORESIS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
RF,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
RFS,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],1,3.084576277934331
NINETEEN,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0 0 0 ... 0 0 0],2,2.7835462822703496
